well_tag_number,development_method_code
1,BAIL
5,AIR_LIFT
6,AIR_LIFT
81,BAIL
104,SURGE
114,SURGE
114,PUMP
114,BAIL
123,JET
127,AIR_LIFT
128,SURGE
128,BAIL
132,AIR_LIFT
163,BAIL
163,PUMP
204,BAIL
274,AIR_LIFT
435,BAIL
437,BAIL
453,BAIL
617,AIR_LIFT
694,AIR_LIFT
774,AIR_LIFT
813,AIR_LIFT
1060,SURGE
1060,BAIL
2078,OTHER
5702,BAIL
5703,PUMP
5882,BAIL
6353,BAIL
9545,PUMP
9558,AIR_LIFT
10455,PUMP
10687,PUMP
12377,PUMP
13884,PUMP
14690,BAIL
15522,PUMP
15811,BAIL
17075,PUMP
17121,BAIL
17129,BAIL
17362,BAIL
17370,PUMP
17470,SURGE
17470,AIR_LIFT
17496,PUMP
17503,PUMP
17511,BAIL
17515,AIR_LIFT
17596,SURGE
17614,BAIL
17640,BAIL
17655,BAIL
17656,BAIL
17676,BAIL
17677,BAIL
17821,BAIL
17831,BAIL
17889,BAIL
17976,BAIL
17993,BAIL
17994,BAIL
18004,BAIL
18032,BAIL
18094,BAIL
18095,BAIL
18100,BAIL
18102,PUMP
18138,BAIL
18141,BAIL
18190,BAIL
18195,BAIL
18207,BAIL
18292,BAIL
18497,BAIL
18620,BAIL
18629,PUMP
18638,BAIL
18643,BAIL
18662,BAIL
18664,AIR_LIFT
18667,BAIL
18693,BAIL
18720,BAIL
18783,BAIL
18805,BAIL
18835,BAIL
18865,BAIL
19130,AIR_LIFT
19141,BAIL
19181,BAIL
19230,BAIL
19359,BAIL
19425,BAIL
19426,BAIL
19501,BAIL
19530,BAIL
19832,PUMP
19838,BAIL
19839,BAIL
19840,BAIL
19844,BAIL
19845,BAIL
19870,BAIL
19947,BAIL
19992,BAIL
20034,PUMP
20036,BAIL
20045,PUMP
20071,BAIL
20091,BAIL
20266,BAIL
20306,BAIL
20328,BAIL
20514,BAIL
20529,BAIL
20543,SURGE
20543,BAIL
20550,BAIL
20560,BAIL
20580,BAIL
20584,BAIL
20603,PUMP
20615,BAIL
20625,BAIL
20662,BAIL
20684,PUMP
20690,BAIL
20710,PUMP
20711,BAIL
20744,BAIL
20747,PUMP
20767,BAIL
20769,PUMP
20792,PUMP
20793,BAIL
20798,BAIL
20806,BAIL
20834,BAIL
20867,BAIL
20872,PUMP
20918,SURGE
20918,BAIL
20936,BAIL
20948,BAIL
20980,PUMP
20993,BAIL
21001,PUMP
21005,BAIL
21027,BAIL
21046,BAIL
21053,BAIL
21066,SURGE
21079,PUMP
21099,BAIL
21120,BAIL
21265,AIR_LIFT
21305,BAIL
21320,BAIL
21324,BAIL
21393,PUMP
21416,BAIL
21422,BAIL
21484,BAIL
21492,PUMP
21504,BAIL
21504,SURGE
21560,BAIL
21626,BAIL
21653,BAIL
21665,PUMP
21836,PUMP
21942,PUMP
21946,BAIL
21963,BAIL
22187,PUMP
22260,SURGE
22334,BAIL
22371,BAIL
22414,PUMP
22451,BAIL
22459,BAIL
22479,PUMP
22495,BAIL
22509,BAIL
22617,BAIL
22674,BAIL
22730,BAIL
22777,BAIL
22785,BAIL
22812,BAIL
23109,SURGE
23181,BAIL
23262,AIR_LIFT
23378,BAIL
23430,AIR_LIFT
23782,PUMP
23799,BAIL
23812,AIR_LIFT
23841,BAIL
23881,BAIL
23892,BAIL
23965,PUMP
23997,PUMP
24071,PUMP
24072,PUMP
24211,BAIL
24321,PUMP
24514,BAIL
24615,PUMP
24842,BAIL
24982,PUMP
25113,PUMP
25272,BAIL
25466,AIR_LIFT
25468,PUMP
25469,SURGE
25556,BAIL
25775,BAIL
26048,PUMP
26166,PUMP
26187,BAIL
26249,PUMP
26293,BAIL
26300,BAIL
26435,PUMP
26444,BAIL
26459,PUMP
26524,BAIL
26550,AIR_LIFT
26628,PUMP
26637,SURGE
26679,PUMP
26700,SURGE
26700,AIR_LIFT
26782,BAIL
26942,BAIL
26949,SURGE
26957,BAIL
27024,PUMP
27025,BAIL
27061,BAIL
27122,AIR_LIFT
27154,PUMP
27218,PUMP
27255,PUMP
27256,BAIL
27266,BAIL
27304,BAIL
27315,AIR_LIFT
27385,PUMP
27420,BAIL
27455,AIR_LIFT
27534,BAIL
27535,PUMP
27542,BAIL
27544,BAIL
27575,BAIL
27589,SURGE
27598,BAIL
27685,BAIL
27800,SURGE
27803,PUMP
27805,BAIL
27908,BAIL
27919,BAIL
27968,BAIL
27970,BAIL
28042,SURGE
28158,BAIL
28161,BAIL
28260,BAIL
28267,SURGE
28290,BAIL
28341,BAIL
28485,BAIL
28634,BAIL
28645,SURGE
28656,BAIL
28660,SURGE
28681,BAIL
