well_tag_number,drilling_method_code
1,CABLE_TOOL
2,OTHER
3,OTHER
5,AIR_ROTARY
6,DUO_ROTARY
7,OTHER
8,EXCAVATING
9,OTHER
10,OTHER
11,OTHER
12,OTHER
13,OTHER
14,OTHER
15,UNK
16,OTHER
17,OTHER
18,OTHER
19,EXCAVATING
20,OTHER
21,AIR_ROTARY
22,OTHER
23,OTHER
24,OTHER
25,EXCAVATING
26,OTHER
27,OTHER
28,OTHER
29,OTHER
30,UNK
31,OTHER
32,OTHER
34,OTHER
35,EXCAVATING
36,OTHER
38,OTHER
39,OTHER
40,OTHER
41,OTHER
42,OTHER
43,OTHER
44,OTHER
45,OTHER
46,OTHER
47,EXCAVATING
48,OTHER
49,EXCAVATING
50,OTHER
51,OTHER
54,OTHER
55,UNK
60,OTHER
61,OTHER
63,OTHER
64,OTHER
65,OTHER
66,OTHER
67,OTHER
68,OTHER
69,OTHER
71,UNK
72,OTHER
73,OTHER
74,OTHER
75,OTHER
76,OTHER
77,OTHER
78,OTHER
79,OTHER
80,OTHER
81,OTHER
82,OTHER
84,OTHER
85,OTHER
86,OTHER
87,UNK
89,OTHER
90,OTHER
91,OTHER
92,OTHER
95,OTHER
96,OTHER
98,OTHER
99,OTHER
100,OTHER
101,OTHER
102,OTHER
103,OTHER
104,OTHER
105,OTHER
106,OTHER
107,OTHER
108,OTHER
109,OTHER
110,OTHER
111,OTHER
112,OTHER
114,OTHER
115,UNK
116,OTHER
117,OTHER
118,OTHER
119,AIR_ROTARY
120,EXCAVATING
121,OTHER
122,OTHER
123,OTHER
125,OTHER
127,AIR_ROTARY
128,OTHER
130,OTHER
131,OTHER
132,OTHER
133,CABLE_TOOL
134,CABLE_TOOL
135,OTHER
137,OTHER
138,OTHER
139,OTHER
140,OTHER
141,OTHER
142,OTHER
145,OTHER
146,OTHER
148,OTHER
149,OTHER
150,OTHER
152,OTHER
153,OTHER
154,OTHER
155,OTHER
156,OTHER
157,OTHER
158,OTHER
160,OTHER
161,OTHER
162,UNK
163,CABLE_TOOL
164,OTHER
165,OTHER
166,OTHER
167,OTHER
168,OTHER
170,OTHER
171,OTHER
172,UNK
174,OTHER
176,UNK
177,OTHER
178,OTHER
179,OTHER
180,OTHER
183,OTHER
184,OTHER
185,OTHER
186,OTHER
